Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
mark of the ninja remastered,pc ps4 xbo nsw,klei interactive,action remake,0,0,0,0,0,0,0,0,0,0,0,0
marvels spiderman,ps4,sony,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
megadimension neptunia viir,pc ps4,idea factory,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
megaman 11,pc ps4 xbo nsw,capcom,action,0,0,0,0,0,0,0,0,0,0,0,0
metal gear survive,pc,konami,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
meterorfall journey,mob,slothworks,rpg,0,0,0,0,0,0,0,0,0,0,0,0
minesweeper genius,mob,mother gaia studio,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
minit,pc ps4 xbo,devolver digital,action,0,0,0,0,0,0,0,0,0,0,0,0
mlb the show 18,ps4,sony,sports,0,0,0,0,0,0,0,0,0,0,0,0
monster boy and the cursed kingdom,ps4 xbo nsw,sega,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
monster hunter generations ultimate,nsw,capcom,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
monster hunter world,pc ps4 xbo,capcom,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
moonlighter,pc ps4 xbo nsw,11 bit studios,rpg,0,0,0,0,0,0,0,0,0,0,0,0
moss,pc ps4,polyarc,vr action,0,0,0,0,0,0,0,0,0,0,0,0
mothergunship,pc ps4 xbo,sold out,action,0,0,0,0,0,0,0,0,0,0,0,0
motorsport manager mobile 3,mob,playsport games ltd,simulation,0,0,0,0,0,0,0,0,0,0,0,0
musync,pc ps4 vita nsw mob,i inferno,prcb,0,0,0,0,0,0,0,0,0,0,0,0
mutant year zero road to eden,pc ps4 xbo,funcom,strategy,0,0,0,0,0,0,0,0,0,0,0,0
nantucket,pc,fisheagle,adventure,0,0,0,0,0,0,0,0,0,0,0,0
nba 2k19,pc ps4 xbo nsw,take two,sports,0,0,0,0,0,0,0,0,0,0,0,0
nhl 19,ps4 xbo,ea,sports,0,0,0,0,0,0,0,0,0,0,0,0
ni no kuni ii revenant kingdom,pc ps4,bandai namco,rpg,0,0,0,0,0,0,0,0,0,0,0,0
nier automata,xbo,square enix,action remake,0,0,0,0,0,0,0,0,0,0,0,0
night in the woods,nsw,finji,adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
nintendo labo,nsw,nintendo,prcb,0,0,0,0,0,0,0,0,0,0,0,0
no mans sky,xbo,hello games,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
not tonight,pc,no more robots,simulation,0,0,0,0,0,0,0,0,0,0,0,0
octahedron,pc ps4 xbo,square enix,action,0,0,0,0,0,0,0,0,0,0,0,0
octopath traveler,nsw,square enix,rpg,0,0,0,0,0,0,0,0,0,0,0,0
oddmar,mob,mobge,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
okami hd,nsw,capcom,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
one hour one life,pc mob,wereviz,simulation,0,0,0,0,0,0,0,0,0,0,0,0
onrush,pc ps4 xbo,codemasters,racing,0,0,0,0,0,0,0,0,0,0,0,0
out of the park baseball 19,pc,out of the park developments,simulation,0,0,0,0,0,0,0,0,0,0,0,0
overcooked 2,pc ps4 xbo nsw,team 17,prcb,0,0,0,0,0,0,0,0,0,0,0,0
owlboy,ps4 xbo nsw,d pad studios,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
pac man championship edition 2 plus,nsw,bandai namco,action remake,0,0,0,0,0,0,0,0,0,0,0,0
